system:index,NO2_column_number_density,data_source,date_end,date_start,latitude,longitude,pollutant,region_name,resolution_km,season,season_name,unit,.geo
0_0,1.078414179801976E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.172788851781462,40.86885385101763]}"
0_1,1.1218850045670184E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.199738310305047,40.86885385101763]}"
0_2,1.1150488843166876E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.226687768828633,40.86885385101763]}"
0_3,1.2400597806762976E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.25363722735222,40.86885385101763]}"
0_4,1.2114473462301912E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.280586685875804,40.86885385101763]}"
0_5,1.2061825676921771E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.30753614439939,40.86885385101763]}"
0_6,1.2136066559947672E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.334485602922975,40.86885385101763]}"
0_7,1.1238691474423804E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.172788851781462,40.895803309541215]}"
0_8,1.1233343723209743E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.199738310305047,40.895803309541215]}"
0_9,1.1239737983253328E-4,Sentinel-5P,2024-03-15,2023-11-15,,,NO2,Kartal,3,DJF,Winter,mol/m2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[29.226687768828633,40.895803309541215]}"
